Provider	Pubish.with.IWGSC..Y.N.	run_accession	scientific_name	secondary_study_accession	High level variety	High level tissue	High level age	High level stress-disease	Variety	Tissue	Age	Stress-disease	Comments	DOI	Intermediate	Intermediate stress
M. Davey BCS	Y	Sample_10	Triticum aestivum	Development	Azhurnaya	roots	seedling	none	Azhurnaya	radicle	seedling stage	none			roots	NA
M. Davey BCS	Y	Sample_18	Triticum aestivum	Development	Azhurnaya	roots	seedling	none	Azhurnaya	radicle	seedling stage	none			roots	NA
M. Davey BCS	Y	Sample_3A	Triticum aestivum	Development	Azhurnaya	roots	seedling	none	Azhurnaya	radicle	seedling stage	none			roots	NA
M. Davey BCS	Y	Sample_12	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	coleoptile	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_26	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	coleoptile	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_6A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	coleoptile	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_11	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	stem axis	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_20	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	stem axis	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_9A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	stem axis	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_10R1	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	first leaf sheath	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_21	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	first leaf sheath	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_30	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	first leaf sheath	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_13R1	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	first leaf blade	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_23	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	first leaf blade	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_32	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	first leaf blade	seedling stage	none			seedling aerial tissues	NA
M. Davey BCS	Y	Sample_13	Triticum aestivum	Development	Azhurnaya	roots	seedling	none	Azhurnaya	roots	seedling stage	none			roots	NA
M. Davey BCS	Y	Sample_33	Triticum aestivum	Development	Azhurnaya	roots	seedling	none	Azhurnaya	roots	seedling stage	none			roots	NA
